,law
1,"(2) Le contrat visé à l’alinéa (1) ci-dessus comprend les éléments ci-après :  l’adresse de l’établissement, le numéro de téléphone, le numéro du télécopieur et l’adresse électronique de l’opérateur ou du fournisseur de service lorsqu’ils sont disponibles ; l'adresse géographique du siège commercial de l’opérateur ou du fournisseur de service si elle est différente de l’adresse d’établissement ; le(s) service(s) fourni(s) et le délai nécessaire à leur fourniture ; le détail des prix et des tarifs pratiqués et les moyens par lesquels des informations actualisées sur l’ensemble des tarifs applicables et des frais de maintenance peuvent être obtenues ; les types de services de maintenance offerts ou après vente offerts, le cas échéant ; la durée du contrat, les conditions de renouvellement et d’interruption des services et du contrat ; les compensations et les formules de remboursement éventuellement applicables dans le cas où les niveaux de qualité des services prévus dans le contrat ne sont pas atteints ; les modalités de lancement des procédures pour le règlement   litiges ; les conditions dans lesquelles le consentement de l’abonné doit être donné avant toute modification contractuelle ; les conditions dans lesquelles il peut être mis fin au contrat d’abonnement ; les informations sur les limitations éventuelles de la responsabilité contractuelle."
1,(2) Le consommateur est en droit d’exiger réparation de tout préjudice résultant du non respect   clauses contractuelles de fourniture d’un service de communication électronique imputable à l’opérateur.
1,"(2) L’Agence s’assure que les services visés à l’alinéa (1) ci-dessus ne sont pas interrompus, sauf cas de forcé majeure."
1,"(3) Lorsqu’une interruption de service est envisagée par un opérateur de réseau ou par un fournisseur de service, celui-ci est tenu, préalablement à cette interruption, d’en informer les consommateurs par tout moyen laissant trace écrite quarante huit (48) heures au moins avant."
1,L’opérateur ou le fournisseur en informe l’Agence dans le même délai.
1,(4) L’interruption visée à l’alinéa (2) ci-dessus ne peut excéder cent quatre-vingt  (180) minutes.
1,"Au delà de cette période, l’Agence exige de l’opérateur ou du fournisseur de service une mesure de réparation d’ordre général sans préjudice de toute action individuelle des consommateurs ayant subi un dommage particulier."
1,(n.b.
1,"this article contains spelling errors as they appear in the original document)    - (1) L’Agence est compétente pour connaitre, avant la saisine de toute juridiction, des différends opposant les opérateurs des réseaux de communication, les fournisseurs de service et les autorités de certification aux consommateurs."
1,"(2) L’Agence peut, d’office ou à la demande de l’une des parties, procéder à une tentative de conciliation afin de trouver une solution amiable au litige."
1,"Elle peut prendre des mesures qu’elle juge utiles à cette fin notamment se faire assister, le cas échéant, par des experts internes ou externes."
1,"(2) Les parties visées à l’alinéa (1) ci-dessus peuvent, suivant les orientations de l’Agence, mettre en place des mécanismes permettant d'améliorer la qualité générale des prestations, notamment en élaborant des codes de conduite ainsi que des normes de fonctionnement."
1,"this text contains spelling errors as they appear in the original document)  LE PRESIDENT DE LA REPUBLIQUE,  Vu 	la Constitution ; Vu 	la loi n° 2001/010 du 23 juillet 2001 instituant le service minimum dans le secteur des  télécommunications ; Vu	la loi n° 2010/012 du 21 décembre 2010 relative à la cybersécurité et à la  cybercriminalité au Cameroun ; Vu	la loi n° 2010/013 du 21 décembre 2010 régissant les communications électroniques au  Cameroun ; Vu	la loi n° 2010/021 du 21 décembre 2010 régissant le commerce électronique au  Cameroun ; Vu	la loi n° 2017/010 du 12 juillet 2017 portant statut général des établissements publics ; Vu	le décret n° 2005/124 du 15 avril 2005 portant organisation du Ministère des Postes et 
	Télécommunications  ; Vu	le décret n° 2011/408 du 09 décembre 2011 portant organisation du Gouvernement,  modifié et complété par le décret n° 2018/190 du 02 mars 2018,  ;  DECRETE :  CHAPITRE I DISPOSITIONS GENERALES  ARTICLE 1er.- Le présent décret porte organisation et fonctionnement de l'Agence Nationale des Technologies de l'information et de la Communication, en abrégé « ANTIC », ci-après désignée « l'Agence »."
1,(2) Son siège est fixé à Yaoundé.
1,"(3) Des antennes peuvent, en tant que de besoin, être créées dans d’autres villes du pays sur délibération du Conseil d’Administration."
1,"Dans cette perspective, elle est chargée de l’enregistrement des noms de domaines «   cm » ; d’élaborer la politique et les procédures d’enregistrement des noms de domaines en « .cm », de l’hébergement, d’administration des serveurs racine, d’attribution d’agrément de Bureau d’enregistrement ou Registrar du « .cm » ; de s’assurer de la disponibilité des adresses Internet (IP) au Cameroun et de leur exploitation dans un environnement sécurisé ; de veiller, dans l’usage des TIC, au respect de l’éthique, ainsi qu’à la protection de la propriété intellectuelle, des consommateurs, des bonnes mœurs et de la vie privée."
1,L’Agence est l’autorité de certification racine et l’autorité de certification de l’Administration publique.
1,L’Agence assure l’audit de sécurité obligatoire et périodique des réseaux de communications électroniques et des systèmes d’information des opérateurs et fournisseurs de services de communications électroniques.
1,Les activités de l’Agence pour la sécurisation du cyberespace englobent les activités préventives et les activités curatives.
1,Les opérateurs des réseaux de communications électroniques et les exploitants des systèmes d’information apportent à l’ANTIC toute la collaboration requise dans ses activités de sécurisation du cyberespace et d’audit de sécurité.
1,Cette collaboration   notamment sur le déploiement de tout dispositif au sein du réseau ou du système d’information et sur le respect des prescriptions pour le bon fonctionnement dudit dispositif.
1,"L’Agence participe aux enquêtes et aux investigations numériques, de sa propre initiative ou en collaboration avec les services de sécurité."
1,"A ce titre, elle est habilitée notamment à :  commettre ses agents assermentés qui peuvent, de ce fait, accéder aux locaux, terrains ou moyens de transport à usage professionnel, demander communication de tout document professionnel et en prendre copie, recueillir, sur convocation ou sur place, les renseignements et les justifications ; constater les infractions cybernétiques qui ne peuvent se révéler que par un contrôle systématique, inopiné et pluriel des intervenants dans le secteur, par les officiers de police judiciaire et les agents assermentés et commissionnés à cette fin par elle ; recueillir des informations, des états financiers et des documents nécessaires auprès des opérateurs et des exploitants des réseaux, des autorités de certification, des auditeurs de sécurité, des éditeurs de logiciel de sécurité, des autres prestataires de services de sécurité et des fournisseurs de services de sécurité   le cadre de leur convention et de leur cahier de charges pour s’assurer du respect par ceux-ci des obligations qui leur sont imposées par les textes législatifs et réglementaires en vigueur ; connaitre en premier recours les différends :  entre les autorités de certification et entre celles-ci et les utilisateurs ; entre les auditeurs agréés et entre ceux-ci et les structures auditées ; entre les bureaux d’enregistrement des noms de domaine en « .cm », et entre ces derniers et les utilisateurs, ou les litiges entre utilisateurs ; infliger et/ou proposer des sanctions aux autorités de certification, aux prestataires des services de sécurité, aux auditeurs de sécurité et aux éditeurs de logiciels de sécurité qui ne se conforment pas à la règlementation en vigueur ; prendre des mesures conservatoires nécessaires pour faire assurer la continuité du service et protéger les intérêts des usagers."
1,(2) L’Agence dispose en son sein d’un Comité chargé de gérer les différends.
1,(3) Un texte particulier du Conseil d’Administration de l’Agence fixe l’organisation et les modalités de fonctionnement du Comité visé à l’alinéa 2 ci-dessus.
1,"A ce titre, la tutelle   s’assure :  que les activités menées par l’Agence sont conformes aux orientations des politiques publiques du Gouvernement ans le secteur concerné, sous réserve des compétences reconnues au Conseil d’Administration ; de la conformité des résolutions du Conseil d’Administration aux lois et règlements, ainsi qu’aux orientations des politiques sectorielles."
1,"A ce titre, la tutelle financière s’assure :  de la conformité des opérations de gestion à incidence financière de l’Agence à la règlementation sur les finances publiques d’une part, et de la régularité a posteriori des comptes, d’autre part ; de la régularité des résolutions du Conseil d’Administration à incidence financière, de la soutenabilité des engagements financiers et de la cohérence générale des plans de performance de l’Agence aux programmes sectoriels."
1,"(2) Le Directeur général transmet à la tutelle et au Conseil d’Administration, tous les documents et informations relatifs aux activités de l’Agence."
1,"Outre le Président, le Conseil est composé ainsi qu’il suit :  un (01) représentant de la Présidence de la République ; un (01) représentant des Services du Premier Ministre ; un (01) représentant du Ministère en charge des télécommunications ; un (01) représentant du Ministère en charge des finances ; un (01) représentant du Ministère en charge de la communication ; un (01) représentant du Ministère en charge de la planification ; un (01) représentant du Ministère en charge de la défense ; un (01) représentant de la Délégation Générale à la Sûreté Nationale ; un (01) représentant de l’Agence de Régulation des Télécommunications ; un (01) représentant du personnel élu par ses pairs."
1,"(2) Les membres du Conseil d’administration de l’Agence sont nommés par décret du Président de la République  pour un mandat de trois (03) ans, éventuellement renouvelable une (01) fois."
1,"(2) Dans les cas prévus à l’alinéa 1 ci-dessus, il est pourvu au remplacement de celui-ci dans les mêmes formes que sa désignation."
1,(2) Aucun membre ne peut siéger une fois son mandat expiré.
1,"(3) En cas d’expiration du mandat du Président du Conseil d'Administration, le Ministre de tutelle technique saisit l’autorité investie du pouvoir de nomination."
1,"(4) En cas de décès en cours de mandat ou dans toutes les hypothèses où un Administrateur n’est plus en mesure d’exercer son mandat, l’organe qui l’a nommé désigne un autre Administrateur pour la suite du mandat."
1,"(2) Le Président et les membres du Conseil d’Administration, ainsi que toutes autres personnes invitées à prendre part aux sessions du Conseil sont en outre astreints à l’obligation de discrétion pour les informations, faits et actes dont ils ont connaissance dans l’exercice de leurs fonctions."
1,"Le montant de l’allocation mensuelle, ainsi que les avantages sont fixés par le Conseil d’Administration, conformément à la réglementation en vigueur."
1,"(2) Les Administrateurs bénéficient d’une indemnité de session fixée par une résolution du Conseil d’Administration, dans la limite des plafonds définis par la réglementation en vigueur."
1,"Ils peuvent prétendre au remboursement des dépenses occasionnées par les sessions, sur présentation des pièces justificatives."
1,"(3) Le Conseil d’Administration peut allouer à ses membres, des rémunérations exceptionnelles pour les missions et mandats qui leur sont confiés, ou autoriser le remboursement des frais de voyage, de déplacement et des dépenses engagées dans l’intérêt de l’Agence, sous réserve de l’autorisation préalable dudit Conseil."
1,"A ce titre, le Conseil d’Administration :  fixe les objectifs et approuve les programmes d’action des activités de son domaine de compétence dans le secteur ; adopte le budget accompagné du projet de performance de l’Agence et arrête de manière définitive les comptes ; approuve les rapports annuels de performance ; adopte l’organigramme et le Règlement Intérieur ; autorise le recrutement de tout le personnel, conformément au plan de recrutement proposé par le Directeur Général et validé par le Conseil d’Administration ; autorise le licenciement du personne sur proposition du Directeur Général ; nomme, sur proposition du Directeur Général, aux rangs de Sous-directeur, de Directeur et assimilé ; accepte tous dons, legs et subventions ; approuve les contrats de performance ou toutes autres conventions y compris les emprunts préparés par le Directeur Général et ayant une incidence sur le budget ; autorise toute aliénation des biens meubles ou immeubles, corporels ou incorporels ; s’assure du respect des règles de gouvernance et commet des audits afin de garantir la bonne gestion de l’Agence ; fixe les rémunérations et des avantages du personnel, sur proposition du   Général dans le respect des lois et règlements en vigueur, du Règlement Intérieur et des prévisions budgétaires ; fixe les rémunérations et avantages du Directeur Général et du Directeur Général Adjoint, dans le respect des lois et règlements en vigueur ; autorise la participation de l’Agence dans des associations, des groupements ou autres organismes professionnels, dont l’activité est nécessairement liée à ses missions ; veille à la publication annuelle d’un rapport sur l’état et le développement des activités de son ressort."
1,(2) Le Conseil d’Administration peut déléguer certains de ses pouvoirs au Directeur Général.
1,Il veille à l’application de ses résolutions.
1,"(2) Le Président du Conseil d’Administration peut inviter toute personne, en raison de ses compétences sur une question inscrite à l’ordre du jour de la session."
1,à prendre part aux travaux du Conseil avec voix consultative.
1,"- (1) En cas de vacance de la Présidence du Conseil d’Administration suite au décès, à la démission ou à la défaillance du Président, les sessions du Conseil d’Administration sont convoquées par le Ministre chargé des finances, à la diligence du Directeur Général, ou des deux tiers (2/3) des membres du   d’Administration."
1,(2) Les sessions du Conseil d’Administration convoquées conformément à l’alinéa 1 ci-dessus sont présidées par un membre du Conseil élu par ses pairs.
1,"(2) Le Conseil d’Administration peut être convoqué en session extraordinaire sur un ordre du jour précis, à la demande du Président du Conseil d’Administration ou des deux tiers (2/3) de ses membres."
1,(3) Le Président du Conseil d’Administration est défaillant lorsqu’il ne convoque pas au moins deux (02) sessions du Conseil d’Administration par an.
1,"(4) En cas de refus du Président de convoquer une session du Conseil conformément à l’alinéa 1 ci-dessus, les deux tiers (2/3) des membres saisisse le Ministre chargé des finances qui convoque le Conseil sur un ordre du jour déterminé."
1,"ARTICLE   .- (1) Les convocations, accompagnés des dossiers à examiner sont adressées au membres par tout moyen laissant traces écrites, quinze (15) jours au moins avant la date prévue pour la session."
1,"(2) En cas d’urgence, le délai prévu à l’alinéa 1 ci-dessus peut être ramené à cinq (05) jours."
1,"(3) Les convocations indiquent la date, le lieu, l’heure et l’ordre du jour."
1,"(2) Aucun Administrateur ne peut, au cours d’une même session, représenter plus d’un Administrateur."
1,"(3) Tout membre présent ou représenté à une session du Conseil d’Administration, est considéré comme ayant été dûment convoqué."
1,"(4) En cas d’empêchement du Président, le Conseil d’Administration élit en son sein un Président de séance à la majorité simple des membres présents ou représentés."
1,(2) Le secrétariat du Conseil d’Administration est assuré par le Directeur   de l’Agence.
1,"Si le quorum n’est pas atteint lors de la première convocation, il est, pour la convention suivante, ramené à la moitié des membres du Conseil d’Administration."
1,(2) Chaque membre dispose d’une voix.
1,(3) Les résolutions du Conseil d’Administration sont prises à la majorité simple des voix des membres présents ou représentés.
1,"En cas d’égalité de voix, celle du Président est prépondérante."
1,"Elles sont signées séance tenante par le Président du Conseil d’Administration, ou le Président de séance, le cas échéant, et un Administrateur."
1,"(2) Les décisions du Conseil d’Administration prennent effet à compter de leur adoption, sous réserve des dispositions contraires aux lois et règlement en vigueur."
1,- (1) Les délibérations du Conseil d’Administration font l’objet d’un procès-verbal consigné dans un registre spécial tenu au siège de l’Agence et cosigné par le Président et le secrétaire de séance.
1,Le   -verbal mentionne les noms des membres présents ou représentés ainsi que ceux des personnes invitées à titre consultatif.
1,Il est lu et approuvé par le Conseil d’Administration lors de la session suivante.
1,(2) Les procès-verbaux de séance sont consignés dans un Registre spécial tenu au siège de l’Agence.
1,(2) Les membres des Comités ou des Commissions bénéficient des facilités de travail et des indemnités dans la limite des plafonds fixés par la réglementation en vigueur.
1,"(2) Le Directeur Général et le Directeur Général-Adjoint sont nommés par décret du Président de la République pour un mandat de trois (03) ans, éventuellement renouvelable deux (02) fois."
1,(3) Le renouvellement prévu à l’alinéa 1 ci-dessus est tacite.
1,"(4) Dans tous les cas, les mandats cumulés du Directeur Général   du Directeur Général-Adjoint ne peuvent excéder neuf (09) ans."
1,(5) Le Directeur Général et le Directeur Général-Adjoint sont soumis aux mesures restrictives et incompatibilités prévues par la législation en vigueur.
1,"A ce titre, il a notamment pour missions :   d’assurer la direction administrative, technique et financière de l’Agence ; d’élaborer le programme d’activités annuelles de l’Agence ; de préparer le projet de budget et de performance, de produire le compte administratif, ainsi que le rapport annuel de performance ; d’assurer le secrétariat des travaux du Conseil d’Administration auquel il prend part avec voix consultative ; de préparer les résolutions du Conseil d’Administration et veiller à leur exécution ; de proposer un plan de recrutement du personnel au Conseil d'Administration ; de nommer le personnel, sous réserve des compétences dévolues au Conseil d’Administration ; de gérer les biens meubles et immeubles, corporels et   de l’Agence, dans le respect de ses missions et des pouvoirs du Conseil d’Administration."
1,Le Directeur Général peut déléguer une partie de ses pouvoirs.
1,"(2) Dans les cas prévus à l’alinéa 1 ci-dessus, le Président du Conseil d’administration est tenu de convoquer une session extraordinaire au cours de laquelle le Directeur Général ou le Directeur Général-Adjoint est entendu."
1,"(3) Le dossier comprenant les griefs est transmis au Directeur Général ou au Directeur Général-Adjoint, dix (10) jours au moins avant la date prévue pour la session extraordinaire."
1,(4) Le débat devant le Conseil d’Administration est contradictoire.
1,(5) Le Conseil d’Administration ne peut valablement délibérer qu’en présence d’au moins deux tiers (2/3) de ses membres.
1,Aucune représentation n’est admise dans ce cas.
1,"(2) Les décisions sont transmises pour information au Ministre chargé des télécommunications et au Ministre chargé des finances, à la diligence du Président du Conseil d’Administration."
1,"(2) Dans le cas où la Direction Générale n’est pas pourvue d’un Directeur Général Adjoint, l’intérim est assuré par un responsable ayant au moins rang de Directeur, Désigné par le Directeur Général."
1,"(3) En cas de vacance du poste du Directeur Général pour cause de décès, de démission ou de mandat arrivé à échéance, le Conseil d’Administration prend les dispositions nécessaires pour le bon fonctionnement de   , en attendant la nomination d’un nouveau Directeur Général par l’autorité investie du pouvoir de nomination."
1,"(2) La prise en charge visée à l’alinéa 1 ci-dessus concerne le salaire et ses accessoires, les indemnités, les primes et les autres avantages servis par l’Agence."
1,(2) Les conflits entre le personnel et l’Agence relèvent de la compétence des juridictions de droit commun.
1,"A cet effet, ils sont gérés selon les règles prévues par le régime financier de l’Etat et des autres entités publiques."
1,"(2) Sur proposition du Directeur Général, des ordonnateurs secondaires peuvent être désignés par le Conseil d’Administration."
1,"(2) Le budget est présenté sous forme de sous-programmes cohérents, avec les objectifs de politiques nationales et locales."
1,(3) Le budget de l’Agence doit être équilibré en recettes et en dépenses.
1,(4) Toutes les recettes de l’Agence et toutes ses dépenses sont inscrites dans le budget adopté par le Conseil d’Administration.
1,"(2) Le budget est rendu exécutoire dès son adoption par le Conseil d’Administration, sous réserve des dispositions contraires aux lois et règlements en vigueur."
1,"(2) L’Agence peut tenir en sus, d’autres types de comptabilité."
1,"Dans ce cas, les textes organiques de l’Agence précisent les modalités de gestion financière."
1,(2) L’Agent comptable enregistre toutes les recettes et toutes les dépenses de  l’Agence.
1,"Il contrôle la régularité des autorisations des recettes, des mandatements et des paiements ordonnés par le Directeur Général."
1,(3) Le paiement des dépenses autorisées s’effectue uniquement auprès de l’Agent  comptable de l’Agence.
1,"(2) Le Contrôleur Financier est chargé du contrôle des actes générateurs des recettes et des dépenses pris soit par le Directeur Général, soit par ses subordonnés."
1,"Il est chargé, d’une manière générale, du contrôle de l’exécution du budget."
1,Il établit également les inventaires ainsi que l’état des créances et des dettes.
1,"(2) Le Directeur Général présente au Conseil d’Administration et, selon le cas, au Ministre chargé des finances et au Ministre chargé des télécommunications, les comptes administratifs et de gestion et les rapports annuels de performance dans les six (06) mois qui suivent la clôture de l’exercice."
1,"(2) Les copies de ces rapports sont transmises au Ministre chargé des finances, au Ministre chargé des télécommunications et au Directeur Général de l’Agence."
1,"A cet effet, l’Agence adresse au Ministre chargé des finances tous les documents et informations relatifs à la vie de l’établissement qui doivent être tenus, en vertu du droit commun, à la disposition des administrateurs et, notamment, les rapports d’activités, les rapports des contrôleurs financiers, ainsi que les états financiers annuels."
1,"(2) En outre, l’Agence est tenu de publier annuellement une note d’information présentant l’état de   actifs et de ses dettes et résumant ses comptes annuels dans un journal d’annonces légales et dans la presse nationale."
1,(3) Le Ministre chargé des finances peut également demander la production d’états financiers pour une périodicité inférieure à un exercice.
1,"(2) L’acte portant nomination de l’Administrateur Provisoire précise ses attributions et la durée de son mandat, laquelle, en tout état de cause, ne saurait excéder un (01) mois."
1,"(3) Au terme de son mandat, l’Administrateur Provisoire est tenu de produire un rapport d’activités présentant tous ses actes de gestion."
1,"(2) Les biens du domaine privé de l’Etat transférés en propriété à l’Agence, sont intégrés de façon définitive dans son patrimoine."
1,(3) Les biens faisant partie du domaine privé de l’Agence sont gérés conformément au droit commun.
1,"(2) La gestion du patrimoine visée à l’alinéa 1 ci-dessus, concerne l’acquisition des biens et leur aliénation."
1,"Il tient à jour au Conseil d’Administration, la situation du patrimoine qui fait l’objet d’un examen à l’occasion d’une de ses sessions."
1,(2) L’autorisation du Conseil d’Administration se fait au moyen d’une résolution adoptée par au moins deux tiers (2/3) de ses membres.
1,(2) Le Directeur Général est l’Autorité Contractante de tous les marchés publics.
1,"ARTICLE 64 .- Le présent décret sera enregistré, publié suivant la procédure d’urgence, puis inséré au Journal Officiel en français et en anglais./-    SOCIALS"
2,Titre abrégé Note marginale :Titre abrégé 1 Loi sur la protection des renseignements personnels.
2,"1980-81-82-83, ch."
2,"111, ann."
2,II « 1 » Objet de la loi Note marginale :Objet 2 La présente loi a pour objet de compléter la législation canadienne en matière de protection des renseignements personnels relevant des institutions fédérales et de droit d’accès des individus aux renseignements personnels qui les concernent.
2,"1980-81-82-83, ch."
2,"111, ann."
2,II « 2 » Définitions Note marginale :Définitions 3 Les définitions qui suivent s’appliquent à la présente loi.
2,(Privacy Commissioner) Cour La Cour fédérale.
2,(Court) déficience sensorielle Toute déficience liée à la vue ou à l’ouïe.
2,(personal information bank) fins administratives Destination de l’usage de renseignements personnels concernant un individu dans le cadre d’une décision le touchant directement.
2,"(administrative purpose) institution fédérale a) Tout ministère ou département d’État relevant du gouvernement du Canada, ou tout organisme, figurant à l’annexe; b) toute société d’État mère   filiale à cent pour cent d’une telle société, au sens de l’article 83 de la Loi sur la gestion des finances publiques."
2,"(designated Minister) renseignements personnels Les renseignements, quels que soient leur forme et leur support, concernant un individu identifiable, notamment : a) les renseignements relatifs à sa race, à son origine nationale ou ethnique, à sa couleur, à sa religion, à son âge ou à sa situation de famille; b) les renseignements relatifs à son éducation, à son dossier médical, à son casier judiciaire, à ses antécédents professionnels ou à des opérations financières auxquelles il a participé; c) tout numéro ou symbole, ou toute autre indication identificatrice, qui lui est propre; d) son adresse, ses empreintes digitales ou son groupe sanguin; e) ses opinions ou ses idées personnelles, à l’exclusion de celles qui portent sur un autre individu ou sur une proposition de subvention, de récompense ou de prix à octroyer à un autre individu par une institution fédérale, ou subdivision de celle-ci visée par règlement; f) toute correspondance de nature, implicitement ou explicitement, privée ou confidentielle envoyée par lui à   institution fédérale, ainsi que les réponses de l’institution dans la mesure où elles révèlent le contenu de la correspondance de l’expéditeur; g) les idées ou opinions d’autrui sur lui; h) les idées ou opinions d’un autre individu qui portent sur une proposition de subvention, de récompense ou de prix à lui octroyer par une institution, ou subdivision de celle-ci, visée à l’alinéa e), à l’exclusion du nom de cet autre individu si ce nom est mentionné avec les idées ou opinions; i) son nom lorsque celui-ci est mentionné avec d’autres renseignements personnels le concernant ou lorsque la seule divulgation du nom révélerait des renseignements à son sujet; toutefois, il demeure entendu que, pour l’application des articles 7, 8 et 26, et de l’article 19 de la Loi sur l’accès à l’information, les renseignements personnels ne comprennent pas les renseignements concernant : j) un cadre ou employé, actuel ou ancien, d’une institution fédérale et portant sur son poste ou ses fonctions, notamment : (i) le fait même qu’il est ou a été employé par l’institution, (ii) son titre et les adresse et numéro de téléphone de son lieu de travail, (iii) la classification, l’éventail des salaires et les attributions de son poste, (iv  son nom lorsque celui-ci figure sur un document qu’il a établi au cours de son emploi, (v) les idées et opinions personnelles qu’il a exprimées au cours de son emploi; j.1) un conseiller ministériel, au sens du paragraphe 2(1) de la Loi sur les conflits d’intérêts, actuel ou ancien, ou un membre, actuel ou ancien, du personnel ministériel, au sens de ce paragraphe, en ce qui a trait au fait même qu’il soit ou ait été tel et à ses nom et titre; k) un individu qui, au titre d’un contrat, assure ou a assuré la prestation de services à une institution fédérale et portant sur la nature de la prestation, notamment les conditions du contrat, le nom de l’individu ainsi que les idées et opinions personnelles qu’il a exprimées au cours de la prestation; l) des avantages financiers facultatifs, notamment la délivrance d’un permis ou d’une licence accordés à un individu, y compris le nom de celui-ci et la nature précise de ces avantages; m) un individu décédé depuis plus de vingt ans."
2,(head) support de substitution Tout support permettant à une personne ayant une déficience sensorielle de lire ou d’écouter des renseignements personnels.
2,(alternative format) L.R.
2,"(1985), ch."
2,"P-21, art."
2,"3 1992, ch."
2,"1, art."
2,"144(F), ch."
2,"21, art."
2,"34 2002, ch."
2,"8, art."
2,"183 2006, ch."
2,"9, art."
2,"181 2019, ch."
2,"18, art."
2,Note marginale :Précision (2) Il est entendu que la Fondation canadienne des relations raciales et l’Office d’investissement des régimes de pensions du secteur public sont des sociétés d’État mères pour   de la présente loi.
2,"2006, ch."
2,"9, art."
2,"2019, ch."
2,"18, art."
2,"Note marginale :Désignation du responsable d’une institution fédérale (2) Il peut aussi désigner, par décret, toute personne à titre de responsable d’une institution fédérale — autre qu’un ministère ou un département d’État — pour l’application de la présente loi."
2,"2006, ch."
2,"9, art."
2,"182 Collecte, conservation et retrait des renseignements personnels Note marginale :Collecte des renseignements personnels 4 Les seuls renseignements personnels que peut recueillir une institution fédérale sont ceux qui ont un lien direct avec ses programmes ou ses activités."
2,"1980-81-82-83, ch."
2,"111, ann."
2,"II « 4 » Note marginale :Origine des renseignements personnels 5   1) Une institution fédérale est tenue de recueillir auprès de l’individu lui-même, chaque fois que possible, les renseignements personnels destinés à des fins administratives le concernant, sauf autorisation contraire de l’individu ou autres cas d’autorisation prévus au paragraphe 8(2)."
2,Note marginale :Mise au courant de l’intéressé (2) Une institution fédérale est tenue d’informer l’individu auprès de qui elle recueille des renseignements personnels le concernant des fins auxquelles ils sont destinés.
2,Note marginale :Exceptions (3) Les paragraphes (1) et (2) ne s’appliquent pas dans les cas où leur observation risquerait : a) soit d’avoir pour résultat la collecte de renseignements inexacts; b) soit de contrarier les fins ou de compromettre l’usage auxquels les renseignements sont destinés.
2,"1980-81-82-83, ch."
2,"111, ann."
2,"II « 5 » Note marginale :Conservation des renseignements personnels utilisés à des fins administratives 6 (1) Les renseignements personnels utilisés par une institution fédérale à des fins administratives doivent être conservés après usage par l’institution pendant une période, déterminée par règlement, suffisamment longue pour permettre à l’individu qu’ils concernent d’exercer son droit d’accès à ces renseignements."
2,"Note marginale :Exactitude des renseignements (2) Une institution fédérale est tenue de veiller, dans la mesure   possible, à ce que les renseignements personnels qu’elle utilise à des fins administratives soient à jour, exacts et complets."
2,Note marginale :Retrait des renseignements personnels (3) Une institution fédérale procède au retrait des renseignements personnels qui relèvent d’elle conformément aux règlements et aux instructions ou directives applicables du ministre désigné.
2,"1980-81-82-83, ch."
2,"111, ann."
2,"II « 6 » Protection des renseignements personnels Note marginale :Usage des renseignements personnels 7 À défaut du consentement de l’individu concerné, les renseignements personnels relevant d’une institution fédérale ne peuvent servir à celle-ci : a) qu’aux fins auxquelles ils ont été recueillis ou préparés par l’institution de même que pour les usages qui sont compatibles avec ces fins; b) qu’aux fins auxquelles ils peuvent lui être communiqués en vertu du paragraphe 8(2)."
2,"1980-81-82-83, ch."
2,"111, ann."
2,"II « 7 » Note marginale :Communication des renseignements personnels 8 (1) Les renseignements personnels qui relèvent d’une institution fédérale ne peuvent être communiqués, à défaut du consentement de l’individu qu’ils concernent, que conformément au présent article."
2,"Note marginale :Communication par Bibliothèque et Archives du Canada (3) Sous réserve des autres lois fédérales, les renseignements personnels qui relèvent de Bibliothèque et Archives du Canada et qui y ont été versés pour dépôt ou à des fins historiques par une institution fédérale peuvent être communiqués conformément aux règlements pour des travaux de recherche ou de statistique."
2,Note marginale :Copie des demandes faites en vertu de l’al.
2,"(2)e) (4) Le responsable d’une institution fédérale conserve, pendant la période prévue par les règlements, une copie des demandes reçues par l’institution en vertu de l’alinéa (2)e) ainsi qu’une mention des renseignements communiqués et, sur demande, met cette copie et cette mention à la disposition du Commissaire à la protection de la vie privée."
2,Note marginale :Avis de communication dans le cas de l’al.
2,"(2)m) (5) Dans le cas prévu à l’alinéa (2)m), le responsable de l’institution fédérale concernée donne un préavis écrit de la communication des renseignements personnels au Commissaire à la protection de la vie privée si les circonstances le justifient; sinon, il en avise par écrit le Commissaire immédiatement après la communication."
2,La décision de mettre au courant l’individu concerné est   à l’appréciation du Commissaire.
2,"Note marginale :Définition de bande d’Indiens (6) L’expression bande d’Indiens à l’alinéa (2)k) désigne : a) soit une bande au sens de la Loi sur les Indiens; b) soit la bande au sens du paragraphe 2(1) de la Loi sur les Naskapis et la Commission crie-naskapie; c) soit la Nation shishalhe, au sens du paragraphe 2(1) de la Loi sur l’autonomie gouvernementale de la Nation shishalhe; d) la première nation dont le nom figure à l’annexe II de la Loi sur l’autonomie gouvernementale des premières nations du Yukon."
2,Note marginale :Définition de conseil de la première nation de Westbank (8) L’expression conseil de la première nation de Westbank aux alinéas (2)f) et (7)b) s’entend du conseil au sens de l’Accord d’autonomie gouvernementale de la première nation de Westbank mis en vigueur par la Loi sur l’autonomie gouvernementale de la première nation de Westbank.
2,"La présente loi a pour objet d’établir, pour l’exercice des droits conférés par les articles 35 à 40 du Code civil en matière de protection des renseignements personnels, des règles particulières à l’égard des renseignements personnels sur autrui qu’une personne recueille, détient, utilise ou communique à des tiers à l’occasion de l’exploitation d’une entreprise au sens de l’article 1525 du Code civil."
2,"Elle   à ces renseignements, que leur conservation soit assurée par l’entreprise ou par un tiers, quelle que soit la nature de leur support et quelle que soit la forme sous laquelle ils sont accessibles: écrite, graphique, sonore, visuelle, informatisée ou autre."
